     1.7 0.206697 0.211867 0.369039 0.467856 0.488855 0.503593 0.512952 0.607473 0.609448 0.696003 0.696132 0.750628 0.750633 0.788488 0.788488 0.817175 0.817175 0.839997 0.839997 0.858738 0.858978  0.87449 0.887964 0.899649 0.909885 0.918915 0.926913 0.933998  0.94026 0.945732 0.950881  0.95504
     1.8 0.137452 0.141106 0.367311 0.455978 0.461472 0.474241  0.51143 0.569978 0.572827 0.664801 0.665016 0.724583 0.724592 0.765956 0.765956 0.797349 0.797349 0.822389 0.822389 0.843003 0.843129 0.860366 0.875248 0.888175 0.899516 0.909534 0.918416 0.926293 0.933256 0.939418  0.94498 0.949738
      1.9 0.0798486 0.0933908  0.364645  0.426867  0.448957  0.458425  0.513193  0.533352  0.537326  0.633168  0.633512     0.698  0.698017  0.742852  0.742853  0.776931  0.776931  0.804188  0.804188  0.826689   0.82673  0.845689  0.862007  0.876206  0.888683   0.89972  0.909517  0.918214  0.925904  0.932645  0.938719  0.944506
        2 0.0384714 0.0642599  0.361262  0.401562  0.427726   0.45612    0.4981  0.503476  0.515494  0.601345  0.601877  0.671019  0.671049  0.719286  0.719287  0.756007  0.756007  0.785463  0.785463  0.809852  0.809852  0.830498  0.848272  0.863768  0.877407   0.88949   0.90023  0.909775  0.918218   0.92564  0.932077  0.937744
      2.1 0.0248876 0.0554208  0.357342  0.379986   0.41043  0.449745  0.464654  0.471726  0.513098  0.569587  0.570385  0.643781  0.643832  0.695368   0.69537  0.734663  0.734663  0.766281  0.766281  0.792543  0.792544  0.814839  0.834079  0.850888  0.854225  0.865711  0.878863   0.89057  0.900986  0.910212  0.918415  0.926246
      2.2 0.0422895  0.061896  0.353031  0.361993   0.39689  0.432092  0.433349  0.442419  0.497879  0.538159  0.539322  0.616426  0.616509  0.671208  0.671212  0.712988  0.712988  0.746713  0.746713  0.774821  0.774821  0.798755  0.807935  0.819463  0.837596  0.853618  0.867858  0.880551  0.891861  0.901889  0.910693  0.918402
      2.3 0.0625451  0.074024  0.347397  0.348457  0.386895  0.396582   0.40442  0.415787  0.461876  0.507325  0.508973  0.589092  0.589225  0.646914  0.646921  0.691072  0.691072  0.726831  0.726831  0.756741  0.756741  0.782293   0.78235  0.804462  0.823922  0.841152  0.856493  0.870191  0.882411  0.893258    0.9028  0.911063
      2.4 0.0801661 0.0867371  0.335988   0.34345  0.343733  0.378001  0.380225  0.391953  0.404342  0.477341  0.479618  0.561916   0.56212  0.622593  0.622604  0.669002  0.669003  0.706707  0.706707  0.738362  0.738362  0.765499  0.765501  0.789114  0.809896  0.828338   0.84479  0.859505  0.872652  0.884336  0.894607  0.903466
      2.5 0.0951008 0.0985108  0.281387  0.327527   0.33446  0.338973  0.354136  0.370949  0.376634  0.448443  0.451514  0.535029  0.535336  0.598342  0.598362  0.646865  0.646866  0.686412  0.686412  0.719744  0.719744  0.748422  0.748423  0.773458  0.795551  0.815202   0.83277  0.848511  0.862596  0.875132  0.886163  0.895672
     2.6 0.107809 0.109049  0.22092 0.264463 0.321711 0.332805 0.334306 0.352734 0.375809 0.420838 0.424887  0.50856 0.509011 0.574259  0.57429 0.624743 0.624745 0.666017 0.666017 0.700945 0.700945 0.731111 0.731111 0.757534 0.759503 0.780919 0.801772 0.820455 0.837226 0.852259 0.865657 0.877464
