0 1 1 1 1 1 1 1 1
     0.1 0.813862 0.982122 0.982703 0.996057 0.997324 0.997825  0.99873 0.999511
     0.2  0.76537 0.944792 0.947064 0.983972 0.985534  0.99128 0.994477 0.998009
     0.3 0.688556 0.898516 0.903432 0.963473 0.965835 0.980547 0.989146 0.996456
     0.4 0.592607  0.84997 0.858236 0.934674 0.935131 0.965009 0.978107  0.99182
     0.5 0.491427 0.803933 0.815953 0.898188 0.899307 0.945147 0.964744 0.982518
     0.6 0.402813 0.763575 0.779458 0.855471 0.857643 0.920756 0.948435 0.971099
     0.7 0.343233 0.730627 0.750247 0.808316 0.812133 0.892052 0.926757 0.964641
     0.8 0.317909 0.705526 0.728612 0.758885 0.764982 0.859052 0.905026 0.941927
     0.9 0.317425 0.687326 0.709393 0.713557 0.718419 0.822306 0.878794 0.916382
       1 0.328051 0.661863 0.673069  0.67443 0.702053 0.782254 0.851059 0.898364
     1.1 0.340813 0.617936 0.634531  0.65617 0.687515 0.740811 0.815487  0.84393
     1.2 0.351855 0.578781 0.599793  0.62548  0.65819 0.697133 0.744215 0.790555
     1.3 0.360076 0.545108 0.568996 0.570805 0.600982 0.653185 0.659142 0.755823
     1.4 0.365498 0.485063 0.513327 0.517242 0.547721 0.607144  0.61355 0.719838
     1.5 0.368508 0.386368 0.408182 0.495223 0.530565 0.564912 0.573704 0.683233
     1.6 0.289816 0.303574 0.369552 0.478882 0.519105 0.525349 0.536866 0.645998
     1.7 0.206697 0.211867 0.369039 0.467856 0.488856 0.503617 0.513012 0.607858
     1.8 0.137452 0.141106 0.367311 0.455978 0.461473 0.474242 0.511432 0.571774
      1.9 0.0798486 0.0933908  0.364645  0.426867  0.448957  0.458425  0.513256  0.534271
        2 0.0384714 0.0642599  0.361262  0.401562  0.427726  0.456121  0.498499  0.514904
      2.1 0.0248876 0.0554208  0.357342  0.379986  0.410431  0.449771  0.465002  0.505864
      2.2 0.0422895  0.061896  0.353031  0.361993   0.39689  0.432112  0.441853   0.49785
      2.3 0.0625451  0.074024  0.347397  0.348457  0.386962  0.398085  0.410709  0.455805
      2.4 0.0801661 0.0867371  0.335988  0.343497  0.344659   0.37816  0.388444  0.404246
      2.5 0.0951008 0.0985108  0.281387   0.32754  0.335714   0.34113  0.358005  0.372215
     2.6 0.107809 0.109049  0.22092 0.264463 0.321711 0.333412 0.352462  0.37262
     2.7 0.118417 0.118738 0.168352  0.20233 0.313976 0.319423 0.330279 0.337604
     2.8 0.125379 0.126777 0.128257 0.150696 0.297414 0.315955 0.325213 0.344081
      2.9 0.0912487  0.109052    0.1343  0.136664  0.283126  0.313815  0.322973  0.348193
        3 0.0645324 0.0757909  0.141146  0.144195  0.270939   0.30564   0.31028  0.324672
      3.1  0.044038 0.0492652  0.147459  0.151048  0.260721  0.300408  0.304884   0.31987
      3.2 0.0283153 0.0294047  0.153367  0.157386  0.252342  0.284852  0.291687  0.299154
      3.3 0.0135336 0.0217552   0.15899  0.163355  0.245668  0.258924  0.273037  0.291118
      3.4 0.0127368  0.022111  0.164445  0.169092  0.225773  0.240548  0.258451  0.278223
      3.5 0.0222368 0.0273352  0.169855  0.174733  0.189696  0.237004  0.245795   0.25064
      3.6 0.0321443 0.0339126  0.155006  0.175357  0.180426  0.205814  0.234003   0.25974
      3.7 0.0404804 0.0411157  0.124264  0.165939  0.181118  0.186345  0.223872  0.232125
      3.8 0.0466687 0.0491289 0.0982884  0.131603   0.18736  0.192715  0.215045  0.230058
      3.9 0.0524173 0.0563204 0.0768749  0.102831  0.194393  0.199852  0.207379  0.226871
        4 0.0577602 0.0594332 0.0628371 0.0790103  0.200893  0.203019  0.208355  0.221298
      4.1  0.045341 0.0593802 0.0627593 0.0688111  0.195418  0.212418  0.219004  0.224705
      4.2 0.0341155 0.0432714 0.0674823 0.0743577  0.190944  0.197429  0.210954  0.228079
      4.3 0.0255143 0.0302513 0.0719964 0.0795785  0.178511  0.187347    0.2015  0.223035
      4.4 0.0196232 0.0203553 0.0763678 0.0845658  0.156602    0.1845  0.192979  0.217691
      4.5 0.0146186 0.0167713  0.080663 0.0894067  0.133921  0.182236  0.185346  0.194315
      4.6  0.014534 0.0168782  0.084952 0.0941886  0.112372  0.164262  0.178543  0.180273
      4.7 0.0184434 0.0189842 0.0893131 0.0930781 0.0990046  0.136635  0.172497   0.17814
      4.8  0.022019 0.0235939 0.0764367 0.0938395  0.103962  0.112238   0.16721  0.175378
      4.9 0.0253625 0.0288468 0.0623967 0.0911965 0.0986498  0.109191  0.120069  0.143028
        5 0.0287428 0.0338828 0.0507042 0.0732732  0.103904  0.105633  0.114868  0.119814
      5.1 0.0320569 0.0386363 0.0410581 0.0581001  0.109834  0.111159  0.119177  0.121237
      5.2 0.0331913 0.0352769 0.0431222 0.0453123  0.116795   0.11893  0.123572  0.128716
      5.3 0.0269091 0.0346229 0.0384082 0.0473819  0.125444  0.127166  0.129661  0.137793
      5.4 0.0221039 0.0258876 0.0414723 0.0514666  0.114413  0.131492  0.132961  0.136787
      5.5 0.0187441   0.01921 0.0444996 0.0554314 0.0991038  0.135978   0.14132  0.146751
      5.6 0.0150748  0.016813 0.0475268  0.059335  0.084738  0.135691  0.139195    0.1441
      5.7 0.0140644 0.0161986 0.0505972 0.0632411 0.0718459  0.115185  0.140236  0.142395
      5.8 0.0157531 0.0166356 0.0537631 0.0606197  0.067222 0.0967858  0.136936   0.13943
      5.9 0.0177864 0.0188634 0.0510355 0.0570895 0.0713643 0.0806015  0.133441  0.137322
