0 2 131
0.1 8 370
0.2 8 372
0.3 8 376
0.4 8 377
0.5 8 377
0.6 8 377
0.7 8 377
0.8 8 375
0.9 8 374
1 8 373
1.1 7 340
1.2 7 336
1.3 7 336
1.4 7 336
1.5 7 334
1.6 6 301
1.7 6 301
1.8 6 301
1.9 6 298
2 6 297
2.1 5 264
2.2 5 264
2.3 5 264
2.4 5 262
2.5 5 262
2.6 4 229
2.7 4 229
2.8 4 229
2.9 4 229
3 4 229
3.1 4 229
3.2 4 229
3.3 4 229
3.4 3 196
3.5 3 196
3.6 3 196
3.7 3 196
3.8 3 196
3.9 3 196
4 3 196
4.1 3 196
4.2 3 196
4.3 3 196
4.4 3 196
4.5 2 163
4.6 2 163
4.7 2 163
4.8 2 163
4.9 2 163
5 2 163
5.1 2 163
5.2 2 163
5.3 2 163
5.4 2 163
5.5 2 163
5.6 2 163
5.7 2 163
5.8 2 163
5.9 2 163
6 2 163
6.1 2 163
6.2 2 163
6.3 2 163
6.4 2 163
6.5 2 163
6.6 2 163
6.7 2 163
6.8 1 130
6.9 1 130
7 2 163
7.1 1 130
7.2 1 130
7.3 1 130
7.4 1 130
7.5 1 130
7.6 1 130
7.7 1 130
7.8 1 130
7.9 1 130
8 1 130
8.1 1 130
8.2 1 130
8.3 1 130
8.4 1 130
8.5 1 130
8.6 1 130
8.7 1 130
8.8 1 130
8.9 1 130
9 1 130
9.1 1 130
9.2 1 130
9.3 1 130
9.4 1 130
9.5 1 130
9.6 1 130
9.7 1 130
9.8 1 130
9.9 1 130
