0 58 4 6179
0.1 107 46 8973
0.2 108 20 9041
0.3 111 17 9080
0.4 111 15 9095
0.5 111 13 9112
0.6 112 11 9130
0.7 115 10 9162
0.8 113 9 9190
0.9 112 9 9318
1 113 9 9633
1.1 114 9 9765
1.2 114 9 9833
1.3 114 9 9869
1.4 113 9 9890
1.5 112 8 9912
1.6 112 9 9934
1.7 113 12 9933
1.8 112 11 9933
1.9 113 9 9931
2 113 8 9926
2.1 114 8 9924
2.2 114 8 9928
2.3 114 10 9953
2.4 114 12 9945
2.5 113 14 9944
2.6 115 7 9941
2.7 115 5 9925
2.8 116 4 9936
2.9 117 4 9938
3 116 4 9990
3.1 118 5 9997
3.2 118 5 10020
3.3 117 5 9954
3.4 152 6 10057
3.5 116 7 10068
3.6 115 7 9922
3.7 118 7 9915
3.8 117 5 9901
3.9 117 4 9906
4 117 4 9912
4.1 117 4 10116
4.2 117 4 10188
4.3 115 4 10238
4.4 117 4 10269
4.5 118 4 10316
4.6 118 5 10351
4.7 116 6 10360
4.8 112 6 10394
4.9 113 7 10410
5 112 5 10416
5.1 111 4 10441
5.2 108 4 10457
5.3 107 4 10469
5.4 108 4 10466
5.5 110 4 10479
5.6 106 4 10492
5.7 108 5 10493
5.8 107 5 10498
5.9 107 5 10499
6 105 5 10510
6.1 105 5 10506
6.2 104 5 10508
6.3 104 6 10511
6.4 103 5 10493
6.5 105 5 10484
6.6 103 5 10491
6.7 104 5 10489
6.8 103 6 10492
6.9 104 5 10502
7 103 5 10518
7.1 101 6 10505
7.2 102 6 10872
7.3 101 8 10918
7.4 102 6 10922
7.5 103 5 10928
7.6 104 5 10914
7.7 101 6 10942
7.8 100 8 10933
7.9 101 8 10938
8 102 5 10945
8.1 100 5 10948
8.2 99 6 10939
8.3 99 6 10930
8.4 100 5 10929
8.5 100 7 10924
8.6 100 5 10928
8.7 100 6 10922
8.8 101 5 10921
8.9 99 6 10898
9 97 8 10884
9.1 97 9 10906
9.2 98 8 10850
9.3 98 7 10841
9.4 99 8 10837
9.5 101 7 10838
9.6 100 9 10830
9.7 103 9 11244
9.8 103 7 11173
9.9 99 7 11152
