      3.3 0.0135336 0.0217552   0.15899  0.163355  0.245668  0.258923  0.272898  0.289892    0.2932  0.333073  0.344334  0.348037  0.358157  0.416834  0.417317  0.476365
      3.4 0.0127368  0.022111  0.164445  0.169092  0.225773  0.240548  0.258433  0.278169   0.29273  0.294068  0.324909  0.329573  0.396651  0.397315  0.432801  0.456746
      3.5 0.0222368 0.0273352  0.169855  0.174733  0.189696  0.236788  0.245491  0.249759  0.268177  0.293764  0.306647  0.312438  0.377175   0.37807  0.437654  0.437743
      3.6 0.0321443 0.0339126  0.155006  0.175357  0.180426  0.205814  0.233994  0.234106   0.25983  0.289563  0.295971  0.296655  0.358435  0.359625  0.419106  0.419234
      3.7 0.0404804 0.0411157  0.124264  0.165939  0.181118  0.186345  0.223862  0.232068  0.253041  0.273655  0.282231  0.298812  0.340457  0.342013  0.391891  0.401116
      3.8 0.0466687 0.0491289 0.0982884  0.131603   0.18736  0.192715  0.215014  0.229987  0.247725   0.25891  0.269157  0.301398  0.322845   0.32326  0.325269  0.383696
      3.9 0.0524173 0.0563204 0.0768749  0.102831  0.194393  0.199848  0.207375  0.226837  0.243799  0.245303  0.257413  0.290374  0.302354   0.30686  0.309418  0.366857
        4 0.0577602 0.0594332 0.0628371 0.0790103  0.200868  0.202693  0.208211  0.221249  0.232801  0.241187  0.246966  0.271348  0.291269  0.294484   0.29977  0.350604
      4.1  0.045341 0.0593802 0.0627593 0.0688111  0.195418  0.211762  0.213035  0.218564  0.221363  0.237776  0.239809   0.25814  0.276492  0.280485  0.291496   0.33494
      4.2 0.0341155 0.0432714 0.0674823 0.0743577  0.190944  0.197429  0.210945  0.226804  0.229795  0.232247  0.239578  0.247812  0.262532  0.267433  0.275938  0.319867
      4.3 0.0255143 0.0302513 0.0719964 0.0795785  0.178511  0.187347  0.201499  0.222976  0.239066  0.240386  0.246731  0.249385  0.251887  0.253079  0.255333  0.305385
      4.4 0.0196232 0.0203553 0.0763678 0.0845658  0.156602    0.1845  0.192979  0.217266  0.224845  0.231261  0.237042  0.242078  0.244186  0.278997  0.283386  0.291493
      4.5 0.0146186 0.0167713  0.080663 0.0894067  0.133921  0.182218  0.185336  0.194288  0.212614  0.224054   0.22549  0.233986  0.244417   0.27819  0.279931  0.328576
      4.6  0.014534 0.0168782  0.084952 0.0941886  0.112372  0.164262  0.178524  0.180231  0.208971  0.214712  0.217245  0.224723  0.247031  0.265473   0.26766  0.315226
      4.7 0.0184434 0.0189842 0.0893131 0.0930781 0.0990046  0.136635  0.172496  0.178138  0.204688   0.20629  0.210713  0.216378  0.249344  0.253338  0.256058   0.30242
      4.8  0.022019 0.0235939 0.0764367 0.0938395  0.103962  0.112238   0.16721  0.175374  0.195395  0.204378  0.204523  0.208933  0.224422  0.241782  0.245129  0.250508
      4.9 0.0253625 0.0288468 0.0623967 0.0911965 0.0986498  0.109191  0.120069  0.143028  0.162618  0.171217  0.186806  0.198186  0.202363  0.203625    0.2308  0.234879
        5 0.0287428 0.0338828 0.0507042 0.0732732  0.103904  0.105633  0.114868  0.119814  0.158675  0.164893  0.178894  0.192095   0.19664  0.203545  0.220385   0.22531
      5.1 0.0320569 0.0386363 0.0410581 0.0581001  0.109834  0.111159  0.119177  0.121237  0.155325  0.155817   0.17163  0.186075  0.191737  0.204221  0.210529  0.216423
      5.2 0.0331913 0.0352769 0.0431222 0.0453123  0.116794  0.118928  0.123407  0.128671  0.143905  0.152501  0.164987  0.180098  0.187623  0.201224  0.205573  0.208215
      5.3 0.0269091 0.0346229 0.0384082 0.0473819  0.125368  0.125769  0.128154  0.129741  0.137774  0.150114  0.158936  0.174138  0.184269  0.192458  0.200685  0.202177
      5.4 0.0221039 0.0258876 0.0414723 0.0514666  0.114413  0.131377  0.132432  0.136601  0.148038  0.149616  0.153448   0.16817  0.180495  0.181646  0.184221  0.193824
