0 62 1 6130
0.1 109 1 9078
0.2 109 1 9210
0.3 110 1 9201
0.4 112 1 9295
0.5 112 1 9337
0.6 114 1 9367
0.7 116 1 9433
0.8 115 1 9532
0.9 114 1 9536
1 115 1 9867
1.1 115 1 9990
1.2 115 1 10047
1.3 116 1 10090
1.4 115 1 10143
1.5 115 1 10179
1.6 115 1 10208
1.7 115 1 10220
1.8 114 1 10233
1.9 115 1 10237
2 115 1 10232
2.1 116 1 10231
2.2 116 1 10224
2.3 116 1 10248
2.4 116 1 10253
2.5 116 1 10237
2.6 116 1 10224
2.7 117 1 10201
2.8 117 1 10185
2.9 118 1 10171
3 117 1 10158
3.1 121 1 10147
3.2 119 1 10152
3.3 118 1 10150
3.4 118 1 10131
3.5 118 1 10119
3.6 116 1 10125
3.7 120 1 10095
3.8 118 1 10114
3.9 119 1 10109
4 118 1 10110
4.1 118 1 10313
4.2 119 1 10375
4.3 117 1 10435
4.4 119 1 10472
4.5 120 1 10491
4.6 117 1 10523
4.7 118 1 10545
4.8 113 1 10568
4.9 114 1 10594
5 114 1 10600
5.1 113 1 10600
5.2 110 1 10628
5.3 109 1 10634
5.4 109 1 10615
5.5 108 1 10633
5.6 109 1 10644
5.7 109 1 10643
5.8 109 1 10665
5.9 108 1 10690
6 106 1 10692
6.1 106 1 10661
6.2 105 1 10664
6.3 105 1 10673
6.4 104 1 10669
6.5 105 1 10669
6.6 104 1 10637
6.7 105 1 10646
6.8 104 1 10668
6.9 104 1 10670
7 104 1 10636
7.1 102 1 10620
7.2 103 1 10963
7.3 102 1 10999
7.4 102 1 11019
7.5 103 1 11025
7.6 105 1 11040
7.7 102 1 11023
7.8 101 1 11148
7.9 102 1 11061
8 103 1 11088
8.1 102 1 11089
8.2 100 1 11084
8.3 99 1 11047
8.4 101 1 11065
8.5 100 1 11054
8.6 100 1 11050
8.7 101 1 11068
8.8 102 1 11056
8.9 100 1 11055
9 98 1 11042
9.1 98 1 11044
9.2 99 1 11035
9.3 99 2 11011
9.4 100 1 11024
9.5 103 1 11024
9.6 101 1 11011
9.7 101 1 11008
9.8 102 1 11001
9.9 98 1 10977
