0 1
     0.1 0.836341
    0.2 0.771662
     0.3 0.703212
     0.4 0.594224
     0.5 0.492478
     0.6 0.403047
     0.7 0.343444
     0.8 0.318245
     0.9 0.317656
       1 0.328329
     1.1 0.341531
     1.2 0.352636
     1.3 0.362054
     1.4 0.374949
     1.5 0.401991
     1.6 0.296602
     1.7 0.206854
     1.8 0.138403
      1.9 0.0801533
        2 0.0384756
      2.1 0.0248876
      2.2 0.0423097
      2.3 0.0628295
      2.4 0.0816225
      2.5 0.0962589
     2.6 0.108229
     2.7 0.118881
     2.8 0.127707
      2.9 0.0913913
        3 0.0658682
     3.1 0.0447054
      3.2 0.0283582
      3.3 0.0135344
      3.4 0.0127369
      3.5 0.0222772
      3.6 0.0324495
      3.7 0.0406885
      3.8 0.0488501
      3.9 0.0530596
        4 0.0596778
     4.1 0.0458871
      4.2 0.0342422
      4.3 0.0255351
      4.4 0.0196235
      4.5 0.014739
     4.6 0.014565
      4.7 0.0186786
     4.8 0.022168
      4.9 0.0258392
        5 0.0291188
      5.1 0.0326601
      5.2 0.0340525
      5.3 0.0269807
      5.4 0.0222758
      5.5 0.0188155
      5.6 0.0151714
      5.7 0.0141879
      5.8 0.0160536
      5.9 0.0178589
        6 0.0196002
     6.1 0.0212652
      6.2 0.0179703
      6.3 0.0252546
      6.4 0.0236731
      6.5 0.0201101
      6.6 0.0174318
      6.7 0.0145563
      6.8 0.0140359
      6.9 0.0156268
       7 0.0173407
      7.1 0.0184319
      7.2 0.0187528
      7.3 0.0202231
      7.4 0.0120238
      7.5 0.0144174
      7.6 0.0184069
      7.7 0.0156404
      7.8 0.0140025
      7.9 0.0151043
        8 0.0156933
      8.1 0.0172632
      8.2 0.0178858
      8.3 0.0184927
      8.4 0.0203471
   8.5 0.01983
      8.6 0.0157888
      8.7 0.0136038
      8.8 0.014599
      8.9 0.0139506
        9 0.0152393
     9.1 0.0169043
      9.2 0.0175726
      9.3 0.0187853
      9.4 0.0184192
      9.5 0.0182778
      9.6 0.0185475
      9.7 0.0160685
      9.8 0.0139029
      9.9 0.0132122
